dataset,method,K,latent_dim,n_samples,n_features,inertia,silhouette,davies_bouldin,calinski_harabasz,kmeans_time,autoencoder_time,total_time,n_samples_tested
synthetic,Autoencoder + KMeans++,2,3.0,100,20,293.04278564453125,0.6901465058326721,0.3488970585793811,251.7985076904297,0.019049644470214844,0.7814764976501465,0.8005261421203613,100
synthetic,Autoencoder + KMeans++,3,3.0,100,20,96.09408569335938,0.7857111096382141,0.42840234973717517,479.4198303222656,0.020934581756591797,0.7814764976501465,0.8024110794067383,100
synthetic,Autoencoder + KMeans++,4,3.0,100,20,2.4996390342712402,0.9463980793952942,0.07077693926109017,13358.462890625,0.02422189712524414,0.7814764976501465,0.8056983947753906,100
synthetic,Autoencoder + KMeans++,5,3.0,100,20,1.6752969026565552,0.8500046730041504,0.25546202032038695,14804.666015625,0.027809619903564453,0.7814764976501465,0.8092861175537109,100
synthetic,Autoencoder + KMeans++,6,3.0,100,20,1.3649543523788452,0.7388221025466919,0.37652034625363884,14387.8408203125,0.025649309158325195,0.7814764976501465,0.8071258068084717,100
synthetic,Autoencoder + KMeans++,7,3.0,100,20,1.114437460899353,0.7338263988494873,0.4063213692172174,14532.3544921875,0.027136802673339844,0.7814764976501465,0.8086133003234863,100
synthetic,Autoencoder + KMeans++,8,3.0,100,20,0.8573104739189148,0.6418462991714478,0.49039624318512487,16022.06640625,0.02984619140625,0.7814764976501465,0.8113226890563965,100
synthetic,Autoencoder + KMeans++,9,3.0,100,20,0.6183968186378479,0.551243782043457,0.5820177383996475,19228.71875,0.02783966064453125,0.7814764976501465,0.8093161582946777,100
synthetic,Autoencoder + KMeans++,10,3.0,100,20,0.5179988145828247,0.5730572938919067,0.522037563577251,20182.689453125,0.03197884559631348,0.7814764976501465,0.81345534324646,100
synthetic,KMeans normal,2,,150,20,46075.49989388589,0.5033991912477714,1.1220852478328245,114.02526676632948,0.0023353099822998047,0.0,0.0023353099822998047,150
synthetic,KMeans normal,3,,150,20,27810.040934133376,0.6374824166659288,0.6781044889089732,142.09427448821106,0.002685070037841797,0.0,0.002685070037841797,150
synthetic,KMeans normal,4,,150,20,27754.357538629672,0.4372020508843724,1.7422136523390461,94.37149982741455,0.0037796497344970703,0.0,0.0037796497344970703,150
synthetic,KMeans normal,5,,150,20,1836.6440901741616,0.6445962161674219,1.2488892955859507,1573.782035220705,0.0021772384643554688,0.0,0.0021772384643554688,150
synthetic,KMeans normal,6,,150,20,1790.6084260964165,0.4236312830156109,2.096357518960911,1283.2288238340586,0.0027272701263427734,0.0,0.0027272701263427734,150
synthetic,KMeans normal,7,,150,20,1751.3492438851245,0.2057249271143723,2.7401669759840694,1086.270340848015,0.0020017623901367188,0.0,0.0020017623901367188,150
synthetic,KMeans normal,8,,150,20,1724.1888224177546,0.20264165338000012,2.5251535522203783,939.461789512541,0.002912282943725586,0.0,0.002912282943725586,150
synthetic,KMeans normal,9,,150,20,1683.8173363260873,0.06633505924479115,2.9239945278724955,836.2330185394761,0.0024445056915283203,0.0,0.0024445056915283203,150
synthetic,KMeans normal,10,,150,20,1687.9828711755495,0.19296377823085062,2.407295134054414,736.1867699749777,0.0035490989685058594,0.0,0.0035490989685058594,150
synthetic,Autoencoder + KMeans++,2,3.0,150,20,394.48468017578125,0.5651816725730896,0.9254895548234531,166.20806884765625,0.01958322525024414,1.0883057117462158,1.10788893699646,150
synthetic,Autoencoder + KMeans++,3,3.0,150,20,119.41218566894531,0.7621907591819763,0.3474378114883197,441.9950866699219,0.023313522338867188,1.0883057117462158,1.111619234085083,150
synthetic,Autoencoder + KMeans++,4,3.0,150,20,2.979809045791626,0.938025712966919,0.08063627171390182,13629.533203125,0.02305912971496582,1.0883057117462158,1.1113648414611816,150
synthetic,Autoencoder + KMeans++,5,3.0,150,20,2.247652292251587,0.8200907111167908,0.3128947542450734,13470.9296875,0.023715734481811523,1.0883057117462158,1.1120214462280273,150
synthetic,Autoencoder + KMeans++,6,3.0,150,20,1.8647003173828125,0.7062420845031738,0.46486409521565225,12920.6591796875,0.026541948318481445,1.0883057117462158,1.1148476600646973,150
synthetic,Autoencoder + KMeans++,7,3.0,150,20,1.4767727851867676,0.6415975689888,0.5372358308209951,13492.439453125,0.030560970306396484,1.0883057117462158,1.1188666820526123,150
synthetic,Autoencoder + KMeans++,8,3.0,150,20,1.1648545265197754,0.49752330780029297,0.657885154409247,14589.2861328125,0.026276826858520508,1.0883057117462158,1.1145825386047363,150
synthetic,Autoencoder + KMeans++,9,3.0,150,20,0.9607309699058533,0.49767762422561646,0.6307098272633989,15346.689453125,0.021421194076538086,1.0883057117462158,1.109726905822754,150
synthetic,Autoencoder + KMeans++,10,3.0,150,20,0.8439515233039856,0.4688454270362854,0.6959900590913884,15421.125,0.022293806076049805,1.0883057117462158,1.1105995178222656,150
synthetic,KMeans normal,2,,200,20,63023.66693458511,0.5275845376744024,0.6056106194621765,157.7987468388244,0.002105712890625,0.0,0.002105712890625,200
synthetic,KMeans normal,3,,200,20,27162.540757434916,0.6734764047020824,0.527900641132655,312.18489680251196,0.0015523433685302734,0.0,0.0015523433685302734,200
synthetic,KMeans normal,4,,200,20,29773.561292799284,0.4695902705758108,2.0527839395567384,183.17841457436816,0.0015358924865722656,0.0,0.0015358924865722656,200
synthetic,KMeans normal,5,,200,20,2428.7400823908265,0.6675857374749253,1.5143523920302058,2224.443847939688,0.0016353130340576172,0.0,0.0016353130340576172,200
synthetic,KMeans normal,6,,200,20,2409.212108276441,0.4747367922348872,1.7468588188814769,1785.093940917382,0.0015347003936767578,0.0,0.0015347003936767578,200
synthetic,KMeans normal,7,,200,20,2369.7997991864772,0.476643364391947,1.7255163678858179,1505.057815338374,0.001811981201171875,0.0,0.001811981201171875,200
synthetic,KMeans normal,8,,200,20,2313.8465798937636,0.26719329240307127,2.3144117896536294,1315.0628564027893,0.001928091049194336,0.0,0.001928091049194336,200
synthetic,KMeans normal,9,,200,20,2236.4224627835283,0.24136429442668955,2.640367665101776,1185.1420535164052,0.0023565292358398438,0.0,0.0023565292358398438,200
synthetic,KMeans normal,10,,200,20,2240.1600443665625,0.04296977858198561,2.6422019676323183,1046.1604490566424,0.0024683475494384766,0.0,0.0024683475494384766,200
synthetic,Autoencoder + KMeans++,2,3.0,200,20,365.6044921875,0.5887269973754883,0.4701652249384496,219.35372924804688,0.01661992073059082,1.525207281112671,1.5418272018432617,200
synthetic,Autoencoder + KMeans++,3,3.0,200,20,156.01602172851562,0.7170814275741577,0.4818393781865409,388.0390930175781,0.01640629768371582,1.525207281112671,1.5416135787963867,200
synthetic,Autoencoder + KMeans++,4,3.0,200,20,4.4636640548706055,0.9247086048126221,0.11009667967116611,11214.2724609375,0.017986774444580078,1.525207281112671,1.543194055557251,200
synthetic,Autoencoder + KMeans++,5,3.0,200,20,3.6736838817596436,0.7745745778083801,0.47936359964682246,10177.66796875,0.02018570899963379,1.525207281112671,1.5453929901123047,200
synthetic,Autoencoder + KMeans++,6,3.0,200,20,3.058448314666748,0.6438273787498474,0.654491732779895,9737.6513671875,0.022538423538208008,1.525207281112671,1.547745704650879,200
synthetic,Autoencoder + KMeans++,7,3.0,200,20,2.6042544841766357,0.5514972805976868,0.735930148193873,9486.4384765625,0.02240896224975586,1.525207281112671,1.5476162433624268,200
synthetic,Autoencoder + KMeans++,8,3.0,200,20,2.1794016361236572,0.4377209544181824,0.8396717338769765,9671.33984375,0.026913881301879883,1.525207281112671,1.5521211624145508,200
synthetic,Autoencoder + KMeans++,9,3.0,200,20,1.8559706211090088,0.4319453537464142,0.8084753292055625,9889.53125,0.031155824661254883,1.525207281112671,1.5563631057739258,200
synthetic,Autoencoder + KMeans++,10,3.0,200,20,1.6399385929107666,0.439637690782547,0.7968407681428268,9899.4013671875,0.03734755516052246,1.525207281112671,1.5625548362731934,200
synthetic,KMeans normal,2,,300,20,92033.97919320679,0.5362948674400309,0.61938706309673,261.1370664019927,0.0032062530517578125,0.0,0.0032062530517578125,300
synthetic,KMeans normal,3,,300,20,36942.2710663055,0.691185747920182,0.528861190980776,545.6496069801398,0.0030057430267333984,0.0,0.0030057430267333984,300
synthetic,KMeans normal,4,,300,20,36870.190000352246,0.48749834403072534,1.9961455364734149,363.4432621641765,0.00524449348449707,0.0,0.00524449348449707,300
synthetic,KMeans normal,5,,300,20,3710.8409811900324,0.644845417028672,1.5069887341262598,3358.1916836516293,0.0035653114318847656,0.0,0.0035653114318847656,300
synthetic,KMeans normal,6,,300,20,3645.082730458887,0.44842364600901674,2.3653177865396473,2726.8089905795664,0.004886627197265625,0.0,0.004886627197265625,300
synthetic,KMeans normal,7,,300,20,3628.976851961424,0.4393593710520117,2.40068512774717,2274.879149951684,0.0045812129974365234,0.0,0.0045812129974365234,300
synthetic,KMeans normal,8,,300,20,3561.919996857463,0.24586121597976315,2.965649845740997,1980.6103380474242,0.0033631324768066406,0.0,0.0033631324768066406,300
synthetic,KMeans normal,9,,300,20,3514.2744409799725,0.24394718997040954,2.8945740818292,1751.0076878918173,0.0028085708618164062,0.0,0.0028085708618164062,300
synthetic,KMeans normal,10,,300,20,3485.7188574999313,0.24561766335171945,2.587285682351718,1564.0735066450802,0.0031287670135498047,0.0,0.0031287670135498047,300
synthetic,Autoencoder + KMeans++,2,3.0,300,20,529.4271240234375,0.6184710264205933,0.7668798220676797,497.3312683105469,0.019951343536376953,2.172285556793213,2.19223690032959,300
synthetic,Autoencoder + KMeans++,3,3.0,300,20,229.41616821289062,0.7423787713050842,0.4079755168755221,766.1195678710938,0.02109527587890625,2.172285556793213,2.193380832672119,300
synthetic,Autoencoder + KMeans++,4,3.0,300,20,9.876805305480957,0.9175812602043152,0.1125717079139168,14016.693359375,0.02124953269958496,2.172285556793213,2.193535089492798,300
synthetic,Autoencoder + KMeans++,5,3.0,300,20,7.622982025146484,0.8194113969802856,0.3283964303648427,13608.5146484375,0.02445507049560547,2.172285556793213,2.1967406272888184,300
synthetic,Autoencoder + KMeans++,6,3.0,300,20,5.415748119354248,0.7284080386161804,0.4584607012609953,15282.3125,0.026386260986328125,2.172285556793213,2.198671817779541,300
synthetic,Autoencoder + KMeans++,7,3.0,300,20,4.2868804931640625,0.6064735651016235,0.6190807595798221,16046.982421875,0.027846813201904297,2.172285556793213,2.200132369995117,300
synthetic,Autoencoder + KMeans++,8,3.0,300,20,3.691251277923584,0.6033532619476318,0.5897181633950807,15926.2353515625,0.030665159225463867,2.172285556793213,2.2029507160186768,300
synthetic,Autoencoder + KMeans++,9,3.0,300,20,3.0847041606903076,0.5864761471748352,0.608739897757582,16625.63671875,0.026010990142822266,2.172285556793213,2.198296546936035,300
synthetic,Autoencoder + KMeans++,10,3.0,300,20,2.7103357315063477,0.5759422779083252,0.649847946143122,16766.267578125,0.02997589111328125,2.172285556793213,2.202261447906494,300
