dataset,method,K,latent_dim,n_samples,n_features,inertia,silhouette,davies_bouldin,calinski_harabasz,kmeans_time,autoencoder_time,total_time,n_features_tested
synthetic,Autoencoder + KMeans++,5,1.0,300,2,11.431129455566406,0.7385406494140625,0.4100456568076245,7132.6484375,0.022994518280029297,2.170322895050049,2.193317413330078,2
synthetic,Autoencoder + KMeans++,6,1.0,300,2,7.745718955993652,0.7556591033935547,0.3786637999671503,8415.044921875,0.0236663818359375,2.170322895050049,2.1939892768859863,2
synthetic,Autoencoder + KMeans++,7,1.0,300,2,5.646329402923584,0.6658288240432739,0.48653090851616104,9605.3388671875,0.026026248931884766,2.170322895050049,2.1963491439819336,2
synthetic,Autoencoder + KMeans++,8,1.0,300,2,4.638206958770752,0.653063178062439,0.49399212856571834,9997.49609375,0.02705693244934082,2.170322895050049,2.1973798274993896,2
synthetic,Autoencoder + KMeans++,9,1.0,300,2,3.9359450340270996,0.6151280999183655,0.5447401448137105,10285.7177734375,0.03210568428039551,2.170322895050049,2.2024285793304443,2
synthetic,Autoencoder + KMeans++,10,1.0,300,2,3.192781448364258,0.6323927640914917,0.5032564050320227,11233.2958984375,0.027606487274169922,2.170322895050049,2.1979293823242188,2
synthetic,KMeans normal,2,,300,5,20919.917875445783,0.5078240598839404,0.671898773440195,216.65816892218297,0.001970052719116211,0.0,0.001970052719116211,5
synthetic,KMeans normal,3,,300,5,6698.708817386669,0.7023797117475601,0.4692544162993569,652.436222775196,0.0018432140350341797,0.0,0.0018432140350341797,5
synthetic,KMeans normal,4,,300,5,919.1856948952861,0.8336826879804717,0.2312299808847505,3779.5295753209216,0.0017631053924560547,0.0,0.0017631053924560547,5
synthetic,KMeans normal,5,,300,5,880.9529465307681,0.6553579884242204,1.0133963540367896,2950.877482212663,0.0030050277709960938,0.0,0.0030050277709960938,5
synthetic,KMeans normal,6,,300,5,848.3886695922823,0.49296211144749225,1.5111430893156672,2445.261828905677,0.0036187171936035156,0.0,0.0036187171936035156,5
synthetic,KMeans normal,7,,300,5,815.4090777941904,0.49073365164919686,1.4486831256521722,2114.898375868995,0.0027086734771728516,0.0,0.0027086734771728516,5
synthetic,KMeans normal,8,,300,5,787.7071626997131,0.4830778313071329,1.4166640689112087,1871.5836309104307,0.0031213760375976562,0.0,0.0031213760375976562,5
synthetic,KMeans normal,9,,300,5,767.9927592383715,0.48284346008759227,1.4246162588482796,1674.8552873646986,0.004351377487182617,0.0,0.004351377487182617,5
synthetic,KMeans normal,10,,300,5,751.8163600811301,0.48435010883355906,1.3715218594451515,1516.2602655182407,0.004122734069824219,0.0,0.004122734069824219,5
synthetic,Autoencoder + KMeans++,2,3.0,300,5,588.722900390625,0.5519236326217651,0.5413189841639795,355.1608581542969,0.019853830337524414,2.033440351486206,2.0532941818237305,5
synthetic,Autoencoder + KMeans++,3,3.0,300,5,268.8182678222656,0.6196575164794922,0.5757795937957509,564.324462890625,0.01982736587524414,2.033440351486206,2.05326771736145,5
synthetic,Autoencoder + KMeans++,4,3.0,300,5,96.12174224853516,0.7200585007667542,0.43419834358972426,1225.8690185546875,0.02210545539855957,2.033440351486206,2.0555458068847656,5
synthetic,Autoencoder + KMeans++,5,3.0,300,5,72.23698425292969,0.6796550750732422,0.4864675997168996,1243.6488037109375,0.022849321365356445,2.033440351486206,2.0562896728515625,5
synthetic,Autoencoder + KMeans++,6,3.0,300,5,58.58869934082031,0.6424748301506042,0.541704366084416,1236.2254638671875,0.02640366554260254,2.033440351486206,2.0598440170288086,5
synthetic,Autoencoder + KMeans++,7,3.0,300,5,46.845924377441406,0.5775282979011536,0.6500111218552743,1296.2813720703125,0.030206680297851562,2.033440351486206,2.0636470317840576,5
synthetic,Autoencoder + KMeans++,8,3.0,300,5,39.943824768066406,0.4756779968738556,0.7676210896359976,1305.8515625,0.030621051788330078,2.033440351486206,2.064061403274536,5
synthetic,Autoencoder + KMeans++,9,3.0,300,5,34.5191764831543,0.4585936367511749,0.7726370052047092,1323.36962890625,0.027235984802246094,2.033440351486206,2.060676336288452,5
synthetic,Autoencoder + KMeans++,10,3.0,300,5,31.13510513305664,0.44221970438957214,0.8121770003319412,1303.204345703125,0.02828192710876465,2.033440351486206,2.0617222785949707,5
synthetic,KMeans normal,2,,300,10,30132.31925669707,0.5734353535571525,0.8544558620784509,404.23245035911344,0.0021300315856933594,0.0,0.0021300315856933594,10
synthetic,KMeans normal,3,,300,10,14152.339407084743,0.7038697633049292,0.4629727036988082,596.5671380091957,0.0018224716186523438,0.0,0.0018224716186523438,10
synthetic,KMeans normal,4,,300,10,1873.5622296084216,0.8223315413197334,0.25303283757958467,3640.712674266644,0.0019266605377197266,0.0,0.0019266605377197266,10
synthetic,KMeans normal,5,,300,10,1865.0648881830423,0.638868124109052,0.47526107764565706,2734.0441776288426,0.0018455982208251953,0.0,0.0018455982208251953,10
synthetic,KMeans normal,6,,300,10,1810.1504609459735,0.5021832083626909,1.1861977987252683,2247.7338971392487,0.0027627944946289062,0.0,0.0027627944946289062,10
synthetic,KMeans normal,7,,300,10,1765.141842551512,0.504686213469944,1.2734167510950807,1915.5848731478789,0.0028557777404785156,0.0,0.0028557777404785156,10
synthetic,KMeans normal,8,,300,10,1718.9517364252665,0.31710013273466214,1.811850968495746,1681.416806794066,0.0030188560485839844,0.0,0.0030188560485839844,10
synthetic,KMeans normal,9,,300,10,1689.883956333876,0.4514795603560126,1.8421672763813324,1492.0471038633877,0.004511594772338867,0.0,0.004511594772338867,10
synthetic,KMeans normal,10,,300,10,1664.516869949035,0.45274926336749954,1.8398019017970229,1342.3402346464013,0.003032207489013672,0.0,0.003032207489013672,10
synthetic,Autoencoder + KMeans++,2,3.0,300,10,872.0235595703125,0.5780566930770874,0.7754451646475489,473.2149353027344,0.023137569427490234,2.099520683288574,2.1226582527160645,10
synthetic,Autoencoder + KMeans++,3,3.0,300,10,445.085693359375,0.662716805934906,0.45856182928006634,604.45703125,0.0235898494720459,2.099520683288574,2.12311053276062,10
synthetic,Autoencoder + KMeans++,4,3.0,300,10,115.58379364013672,0.7629227638244629,0.3383738153720054,1827.796875,0.020191431045532227,2.099520683288574,2.1197121143341064,10
synthetic,Autoencoder + KMeans++,5,3.0,300,10,90.93756103515625,0.7106092572212219,0.4393191680559319,1756.48193359375,0.02385115623474121,2.099520683288574,2.1233718395233154,10
synthetic,Autoencoder + KMeans++,6,3.0,300,10,74.07833862304688,0.6465564966201782,0.517782848649795,1732.5211181640625,0.02567434310913086,2.099520683288574,2.125195026397705,10
synthetic,Autoencoder + KMeans++,7,3.0,300,10,61.16402053833008,0.5766773223876953,0.6147562860956154,1752.9715576171875,0.027037382125854492,2.099520683288574,2.1265580654144287,10
synthetic,Autoencoder + KMeans++,8,3.0,300,10,46.25356674194336,0.5112284421920776,0.6723835835500396,1993.5787353515625,0.029599428176879883,2.099520683288574,2.129120111465454,10
synthetic,Autoencoder + KMeans++,9,3.0,300,10,38.79950714111328,0.4900784194469452,0.7058101171990745,2079.3740234375,0.025673866271972656,2.099520683288574,2.125194549560547,10
synthetic,Autoencoder + KMeans++,10,3.0,300,10,34.74723815917969,0.47023919224739075,0.7318421997887319,2060.552490234375,0.027707815170288086,2.099520683288574,2.1272284984588623,10
synthetic,KMeans normal,2,,300,15,77517.575161222,0.5110275500331966,1.0726607913144475,253.54740646303944,0.0020761489868164062,0.0,0.0020761489868164062,15
synthetic,KMeans normal,3,,300,15,50617.33871569464,0.6192681055536,0.6492108147967238,272.4145200608809,0.0018241405487060547,0.0,0.0018241405487060547,15
synthetic,KMeans normal,4,,300,15,2779.493957273988,0.8560397063262093,0.20390541822648195,4994.307623669913,0.0030372142791748047,0.0,0.0030372142791748047,15
synthetic,KMeans normal,5,,300,15,2758.846260427588,0.6556016537203523,0.670022496900248,3761.5671876404917,0.0034072399139404297,0.0,0.0034072399139404297,15
synthetic,KMeans normal,6,,300,15,2650.9537236941915,0.4643252338069027,2.073889822701369,3123.5060263004375,0.004080057144165039,0.0,0.004080057144165039,15
synthetic,KMeans normal,7,,300,15,2643.7021942739234,0.26448549213336586,2.2484303858921,2601.3175467407946,0.0028519630432128906,0.0,0.0028519630432128906,15
synthetic,KMeans normal,8,,300,15,2602.440967781591,0.26536071271603484,2.1831028561398895,2257.9830714195614,0.00399470329284668,0.0,0.00399470329284668,15
synthetic,KMeans normal,9,,300,15,2574.022010206433,0.45765319230696816,2.31616266643306,1991.1093354805128,0.0031442642211914062,0.0,0.0031442642211914062,15
synthetic,KMeans normal,10,,300,15,2523.8095656702803,0.46346081368082015,2.055351492236753,1799.5255334119106,0.003292560577392578,0.0,0.003292560577392578,15
synthetic,Autoencoder + KMeans++,2,3.0,300,15,658.47900390625,0.6458702087402344,0.4477101798394318,459.5091552734375,0.020375490188598633,2.363006114959717,2.3833816051483154,15
synthetic,Autoencoder + KMeans++,3,3.0,300,15,73.55740356445312,0.8357124328613281,0.2628227208930095,3230.6982421875,0.02090287208557129,2.363006114959717,2.383908987045288,15
synthetic,Autoencoder + KMeans++,4,3.0,300,15,17.92601776123047,0.8827825784683228,0.14001718984204967,9114.314453125,0.022060394287109375,2.363006114959717,2.385066509246826,15
synthetic,Autoencoder + KMeans++,5,3.0,300,15,9.956681251525879,0.7987089157104492,0.36527866415849086,12324.517578125,0.029660463333129883,2.363006114959717,2.3926665782928467,15
synthetic,Autoencoder + KMeans++,6,3.0,300,15,7.916248321533203,0.7120972871780396,0.48303101541046417,12386.2021484375,0.02913212776184082,2.363006114959717,2.3921382427215576,15
synthetic,Autoencoder + KMeans++,7,3.0,300,15,6.388431072235107,0.6786993145942688,0.5685980654270043,12746.0322265625,0.03288888931274414,2.363006114959717,2.395895004272461,15
synthetic,Autoencoder + KMeans++,8,3.0,300,15,5.374782562255859,0.6835737228393555,0.6056734749931723,12949.1318359375,0.03265500068664551,2.363006114959717,2.3956611156463623,15
synthetic,Autoencoder + KMeans++,9,3.0,300,15,4.777130126953125,0.6839760541915894,0.5824979115935283,12712.1787109375,0.031079530715942383,2.363006114959717,2.394085645675659,15
synthetic,Autoencoder + KMeans++,10,3.0,300,15,4.295286655426025,0.6877626776695251,0.5663196429333192,12524.5166015625,0.034117937088012695,2.363006114959717,2.3971240520477295,15
synthetic,KMeans normal,2,,300,20,97273.38965116348,0.496039203702436,1.1232669299119984,231.0204167854468,0.0028047561645507812,0.0,0.0028047561645507812,20
synthetic,KMeans normal,3,,300,20,84700.9923005824,0.5544028410538389,0.9721108895883512,154.25280424847435,0.0027947425842285156,0.0,0.0027947425842285156,20
synthetic,KMeans normal,4,,300,20,3782.922047143285,0.8485122103491373,0.2147917648971301,4405.280457992943,0.0024666786193847656,0.0,0.0024666786193847656,20
synthetic,KMeans normal,5,,300,20,3765.995152569523,0.6469690127349839,0.47414415249201997,3307.9298293166885,0.002977609634399414,0.0,0.002977609634399414,20
synthetic,KMeans normal,6,,300,20,3699.7818213896735,0.4531123747207217,1.494971870530751,2685.6254054847836,0.003305673599243164,0.0,0.003305673599243164,20
synthetic,KMeans normal,7,,300,20,3628.9424064450304,0.2557643851719574,2.252569432654648,2274.901206371288,0.0027437210083007812,0.0,0.0027437210083007812,20
synthetic,KMeans normal,8,,300,20,3574.052053912954,0.24925408207952515,2.9168738554620006,1973.745592556843,0.0025365352630615234,0.0,0.0025365352630615234,20
synthetic,KMeans normal,9,,300,20,3531.217239339604,0.45239669910383573,2.334419990052006,1742.431816621402,0.0024001598358154297,0.0,0.0024001598358154297,20
synthetic,KMeans normal,10,,300,20,3506.0642830242446,0.4512136767176211,2.25983997466014,1554.81032341604,0.002369403839111328,0.0,0.002369403839111328,20
synthetic,Autoencoder + KMeans++,2,3.0,300,20,675.4801025390625,0.5890628099441528,0.8929688375856738,367.6972351074219,0.02211284637451172,2.000889778137207,2.0230026245117188,20
synthetic,Autoencoder + KMeans++,3,3.0,300,20,285.4241027832031,0.7529228925704956,0.4075806766501319,636.5707397460938,0.024488210678100586,2.000889778137207,2.0253779888153076,20
synthetic,Autoencoder + KMeans++,4,3.0,300,20,9.680343627929688,0.9256226420402527,0.1139553075792936,15281.2060546875,0.02680659294128418,2.000889778137207,2.027696371078491,20
synthetic,Autoencoder + KMeans++,5,3.0,300,20,7.014584064483643,0.824429452419281,0.34427041283997417,15790.998046875,0.02787303924560547,2.000889778137207,2.0287628173828125,20
synthetic,Autoencoder + KMeans++,6,3.0,300,20,6.064239501953125,0.6835849285125732,0.6419417752311282,14572.203125,0.026875019073486328,2.000889778137207,2.0277647972106934,20
synthetic,Autoencoder + KMeans++,7,3.0,300,20,5.435208320617676,0.5902570486068726,0.6438482462872693,13508.4677734375,0.029867172241210938,2.000889778137207,2.030756950378418,20
synthetic,Autoencoder + KMeans++,8,3.0,300,20,4.731002330780029,0.5762923359870911,0.6870555845973525,13262.9736328125,0.029393911361694336,2.000889778137207,2.0302836894989014,20
synthetic,Autoencoder + KMeans++,9,3.0,300,20,3.9592041969299316,0.4482310116291046,0.795206820227949,13830.9580078125,0.028060436248779297,2.000889778137207,2.0289502143859863,20
synthetic,Autoencoder + KMeans++,10,3.0,300,20,3.3883049488067627,0.44110962748527527,0.771488770659587,14317.5888671875,0.02760457992553711,2.000889778137207,2.028494358062744,20
